#{"t_start": 1760874101.67724, "env_id": "None"}
r,l,t
-0.571199,30,101.691075
-0.753263,31,101.705817
9.24923,276,101.80638
5.334619,151,101.86305
10.172775,280,101.971617
9.453162,281,102.076898
8.217425,271,102.18014
7.878903,265,102.27616
10.205416,285,103.205157
9.560242,271,103.304982
6.004875,138,103.356164
4.381212,132,103.407455
9.299058,232,103.493808
9.412774,255,103.591762
-0.656954,28,103.603206
9.631109,259,103.698517
0.948299,46,103.716495
4.596141,128,103.764397
4.872442,148,103.820333
-0.204529,39,103.835243
9.378842,237,104.777859
8.847286,278,104.879459
8.940193,270,104.978749
9.543998,269,105.080701
6.243161,143,105.136973
9.513507,251,105.232996
3.906558,112,105.275667
3.646187,106,105.319052
9.481057,256,105.415474
5.288464,146,105.471356
5.686191,155,106.313858
9.796557,295,106.423287
3.800326,109,106.465416
4.319499,121,106.511312
9.478663,240,106.598219
9.699016,249,106.694019
6.797555,155,106.752652
9.603603,274,106.852728
9.280043,240,106.944886
8.711204,264,107.047252
8.66455,247,108.019109
9.086487,293,108.130102
6.3591,142,108.186021
9.840468,263,108.287507
5.132514,155,108.347145
-0.23032,37,108.362867
9.823787,297,108.479889
-0.730756,28,108.493458
5.269147,146,108.555192
5.732589,159,108.618968
5.424034,150,108.67671
4.608094,131,108.728583
9.878711,294,109.654888
9.833712,289,109.764489
10.257005,286,109.870561
4.060316,110,109.91194
10.232338,292,110.019774
4.546347,127,110.068268
5.113976,145,110.125168
9.981458,276,110.230135
9.310048,291,110.341522
1.342435,55,111.237348
9.745599,304,111.355622
9.590271,294,111.466967
7.32995,301,111.581382
9.715581,279,111.686002
8.851205,268,111.785632
9.975779,283,111.896121
9.672424,281,112.794568
7.364912,289,112.904951
9.267078,291,113.013867
5.578119,159,113.076543
9.967886,258,113.174123
8.510008,266,113.274339
9.431518,252,113.3701
10.582251,305,113.483503
8.737576,295,114.407664
10.271117,282,114.519932
0.289583,51,114.541732
5.937068,137,114.597203
5.466515,157,114.661937
9.625379,269,114.766615
6.231505,139,114.819381
8.768015,241,114.91083
9.675081,271,115.011363
-0.298615,35,115.025245
10.112621,293,115.134392
10.301196,265,116.087289
8.556426,273,116.18951
-0.716421,26,116.200063
5.866297,286,116.310195
6.226932,139,116.365767
6.12895,138,116.419555
4.731195,134,116.47474
5.206646,148,116.531211
9.683999,292,116.640208
7.049156,271,116.742239
10.251953,275,117.66248
10.280333,279,117.770703
9.537579,259,117.875314
10.266112,289,117.98713
9.287228,261,118.097036
10.397588,287,118.201186
-0.385968,40,118.217847
9.313976,279,118.327395
-0.459445,34,118.34327
-0.461384,40,118.362525
6.038969,138,118.41861
9.929406,269,119.441635
7.955932,285,119.580902
10.4735,271,119.681516
9.383545,249,119.771085
6.699427,149,119.828793
9.385142,300,119.949448
3.138282,97,119.986072
9.639534,301,120.094916
9.903412,260,121.115769
9.740103,269,121.217763
4.041673,123,121.268679
10.060704,262,121.379403
-0.829622,29,121.39325
5.296605,142,121.447297
10.352153,274,121.547467
6.424436,145,121.603213
10.367784,264,121.699102
3.979486,116,121.741855
9.951942,267,121.839603
10.155628,261,122.851722
8.983759,250,122.946752
4.571208,129,122.995455
10.302979,259,123.095661
10.005531,261,123.195653
4.793231,135,123.248343
11.058738,281,123.358825
3.635811,104,123.40037
10.5589,281,123.506701
10.258945,276,124.920426
9.979199,284,125.022943
10.257556,274,125.127251
10.259216,281,125.233782
10.449983,284,125.348799
10.510764,276,125.461587
10.656041,272,125.567306
10.029426,270,126.523314
4.553385,121,126.568373
11.661366,299,126.678836
11.879414,311,126.792857
11.16339,290,126.898457
11.503608,283,127.004845
9.927954,268,127.102413
10.33278,273,127.203061
10.720189,290,128.285348
11.891332,333,128.40713
10.748377,281,128.519689
11.44756,292,128.628202
11.098714,346,128.763104
10.714199,308,128.875901
-0.301898,37,128.891011
5.132566,148,128.952634
11.55193,299,129.878809
11.045892,280,129.982078
-0.509527,33,129.995083
-0.075477,40,130.012727
6.018526,137,130.067641
6.659111,160,130.127925
11.08418,287,130.232336
10.278277,283,130.335184
11.752197,318,130.451771
10.492814,301,130.560417
4.515993,132,131.575242
10.580665,284,131.678442
12.964202,355,131.807285
12.05548,304,131.921645
4.505709,134,131.971161
12.265514,299,132.081767
9.392528,251,132.174079
11.542812,371,132.308909
-0.38164,34,133.208177
11.143688,270,133.306494
-0.34123,39,133.322131
-0.246683,42,133.341498
10.815759,327,133.467023
11.052771,294,133.58502
6.832734,155,133.64615
1.507652,59,133.669143
12.149143,323,133.794324
-0.897068,30,133.805939
11.2759,295,133.914785
10.689432,300,135.006562
5.831984,164,135.067805
11.925542,315,135.180956
12.166765,358,135.318073
11.723053,309,135.430881
9.779457,259,135.527214
11.746977,279,135.629185
10.789859,321,136.592077
12.864567,352,136.721502
3.844714,116,136.764824
12.74393,319,136.882525
12.546787,343,137.016762
10.534707,288,137.120647
12.157848,338,137.245401
13.09879,338,138.31927
12.327311,342,138.454431
1.647538,62,138.478671
0.563904,42,138.497201
12.301224,326,138.622957
11.426796,279,138.726484
11.158381,306,138.838272
12.297632,314,138.955191
14.072584,374,139.889455
4.774791,136,139.940568
0.24554,47,139.958889
-0.083659,44,139.976536
11.581859,282,140.078945
9.974029,302,140.187719
4.396261,128,140.238127
6.707319,151,140.298712
10.305611,302,140.4127
12.87804,335,140.543639
-0.586786,33,140.557235
12.734389,336,141.66697
6.711473,161,141.726013
12.347437,296,141.837454
11.646973,288,141.943444
-0.394251,38,141.958764
0.1625,38,141.97459
12.825147,382,142.11409
