#{"t_start": 1760784164.8878198, "env_id": "None"}
r,l,t
-0.9,1,44.449871
-0.9,1,44.497916
-0.9,1,44.581764
-0.9,1,44.631277
-0.9,1,44.714051
-0.9,1,44.765648
-0.9,1,44.846776
-0.9,1,44.899837
-0.9,1,44.983087
-0.9,1,45.03328
-0.9,1,45.115509
-0.9,1,45.167519
-0.9,1,45.249233
-0.9,1,45.297832
-0.9,1,45.377857
-0.9,1,45.430238
-0.9,1,45.514453
-0.9,1,45.562114
-0.9,1,45.644192
0.292769,2,45.698243
-0.9,1,45.784473
-0.9,1,45.836266
-0.9,1,45.920577
-0.9,1,45.972425
-0.9,1,46.054129
-0.9,1,46.104354
-0.9,1,46.187266
-0.9,1,46.237766
-0.9,1,46.319988
-0.9,1,46.369231
-0.9,1,46.453649
-0.9,1,46.506709
-0.9,1,46.588953
-0.9,1,46.639205
-0.9,1,46.728911
-0.9,1,46.78513
-0.9,1,46.875036
-0.9,1,46.931045
-0.9,1,47.016603
-0.9,1,47.068132
-0.9,1,47.151857
-0.9,1,47.203358
-0.9,1,47.289249
-0.9,1,47.344487
-0.9,1,47.425746
-0.9,1,47.477188
-0.9,1,47.55904
-0.9,1,47.612468
-0.9,1,47.69492
-0.9,1,47.745979
-0.9,1,47.826838
-0.9,1,47.881824
-0.9,1,47.971368
-0.9,1,48.027505
-0.9,1,48.119508
-0.9,1,48.201503
-0.9,1,48.312277
-0.9,1,48.367493
-0.9,1,48.457091
-0.9,1,48.51162
-0.9,1,48.598515
-0.9,1,48.64891
-0.9,1,48.733353
-0.9,1,48.784969
-0.9,1,48.867733
-0.9,1,48.920683
-0.9,1,49.005696
-0.9,1,49.059372
-0.9,1,49.145179
-0.9,1,49.198309
-0.9,1,49.285465
-0.9,1,49.338883
-0.9,1,49.424426
-0.9,1,49.476415
-0.9,1,49.562933
-0.9,1,49.617922
-0.9,1,49.704309
-0.9,1,49.757794
-0.9,1,49.841111
-0.9,1,49.896577
-0.9,1,49.983212
-0.9,1,50.033077
-0.9,1,50.118261
-0.9,1,50.17226
-0.9,1,50.258743
-0.9,1,50.311554
-0.9,1,50.40301
-0.9,1,50.462355
-0.9,1,50.546937
-0.9,1,50.600637
-0.9,1,50.688671
-0.9,1,50.745728
-0.9,1,50.833657
-0.9,1,50.884536
-0.9,1,50.970016
-0.9,1,51.02839
-0.9,1,51.111806
-0.9,1,51.164397
-0.9,1,51.246385
-0.9,1,51.300586
-0.9,1,51.38575
-0.9,1,51.437824
-0.9,1,51.523259
-0.9,1,51.579048
-0.9,1,51.666819
-0.9,1,51.717918
-0.9,1,51.805087
-0.9,1,51.862677
-0.9,1,51.947078
-0.9,1,51.998489
-0.9,1,52.084277
-0.9,1,52.134754
-0.9,1,52.219052
-0.9,1,52.272258
-0.9,1,52.35715
-0.9,1,52.412019
-0.9,1,52.495218
-0.9,1,52.546993
-0.9,1,52.629839
-0.9,1,52.68356
-0.9,1,52.76723
-0.9,1,52.81847
-0.9,1,52.902688
-0.9,1,52.956791
-0.9,1,53.041719
-0.9,1,53.096496
-0.9,1,53.180073
-0.9,1,53.232142
-0.9,1,53.319561
-0.9,1,53.368093
-0.9,1,53.447653
-0.9,1,53.497597
-0.9,1,53.579299
-0.9,1,53.62936
-0.9,1,53.712388
-0.9,1,53.766438
-0.9,1,53.85072
-0.9,1,53.901496
-0.9,1,53.990529
-0.9,1,54.046517
-0.9,1,54.133718
-0.9,1,54.184777
-0.9,1,54.270963
-0.9,1,54.324445
-0.9,1,54.409699
-0.9,1,54.458915
-0.9,1,54.539819
-0.9,1,54.592164
-0.9,1,54.67552
-0.9,1,54.73744
-0.9,1,54.832713
-0.9,1,54.88348
-0.9,1,54.963471
-0.9,1,55.015728
-0.9,1,55.094815
-0.9,1,55.145085
-0.9,1,55.227139
-0.9,1,55.277885
-0.9,1,55.362126
-0.9,1,55.416516
-0.9,1,55.496912
-0.9,1,55.546055
-0.9,1,55.628924
-0.9,1,55.680897
-0.9,1,55.762083
-0.9,1,55.811378
-0.9,1,55.892646
-0.9,1,55.944331
-0.9,1,56.026903
-0.9,1,56.074659
-0.9,1,56.16048
-0.9,1,56.216881
-0.9,1,56.30008
-0.9,1,56.351055
-0.9,1,56.439237
-0.9,1,56.493374
-0.9,1,56.574311
-0.9,1,56.625677
-0.9,1,56.707489
-0.9,1,56.757569
-0.9,1,56.838696
-0.9,1,56.903296
-0.9,1,56.99996
-0.9,1,57.050524
-0.9,1,57.131453
-0.9,1,57.178477
-0.9,1,57.261154
-0.9,1,57.313358
-0.9,1,57.396968
-0.9,1,57.447085
-0.9,1,57.529007
-0.9,1,57.580581
-0.9,1,57.6687
-0.9,1,57.723249
-0.9,1,57.814227
-0.9,1,57.862723
-0.9,1,57.949562
-0.9,1,57.996684
-0.9,1,58.083464
-0.9,1,58.135847
-0.9,1,58.2207
-0.9,1,58.267994
-0.9,1,58.348894
-0.9,1,58.399498
-0.9,1,58.483771
-0.9,1,58.530409
-0.9,1,58.611437
-0.9,1,58.663646
-0.9,1,58.755721
-0.9,1,58.807084
-0.9,1,58.902544
-0.9,1,58.957491
-0.9,1,59.053962
-0.9,1,59.106817
-0.9,1,59.197651
-0.9,1,59.247812
-0.9,1,59.331889
-0.9,1,59.385389
-0.9,1,59.47423
-0.9,1,59.527772
-0.9,1,59.61283
-0.9,1,59.662954
-0.9,1,59.748929
-0.9,1,59.80096
-0.9,1,59.883416
-0.9,1,59.930243
-0.9,1,60.019157
-0.9,1,60.08048
-0.9,1,60.174594
-0.9,1,60.231248
-0.9,1,60.33217
-0.9,1,60.386905
-0.9,1,60.486359
-0.9,1,60.535958
-0.9,1,60.62184
-0.9,1,60.674756
-0.9,1,60.765561
-0.9,1,60.815979
-0.9,1,60.900849
-0.9,1,60.953777
-0.9,1,61.045379
-0.9,1,61.100532
-0.9,1,61.193048
-0.9,1,61.247366
-0.9,1,61.330337
-0.9,1,61.385603
-0.9,1,61.480102
