#{"t_start": 1760777147.9701302, "env_id": "None"}
r,l,t
200.2,200,27.490918
200.2,200,27.558071
200.2,200,27.626144
200.2,200,27.690656
200.2,200,27.755547
200.2,200,27.821368
200.2,200,28.421298
200.2,200,28.487363
200.2,200,28.552602
200.2,200,28.617698
200.2,200,28.684087
200.2,200,29.316315
200.2,200,29.382387
200.2,200,29.453376
200.2,200,29.5183
200.2,200,29.583825
200.2,200,30.171313
200.2,200,30.238273
200.2,200,30.306072
200.2,200,30.37351
200.2,200,30.438372
200.2,200,31.009881
200.2,200,31.077564
200.2,200,31.143956
200.2,200,31.210288
200.2,200,31.281756
200.2,200,31.854346
200.2,200,31.92086
200.2,200,31.987225
200.2,200,32.053688
200.2,200,32.121414
200.2,200,32.767028
200.2,200,32.834219
200.2,200,32.902352
200.2,200,32.967573
200.2,200,33.033937
200.2,200,33.589245
200.2,200,33.655237
200.2,200,33.720604
200.2,200,33.786656
207.55,200,33.854109
200.2,200,34.444419
36.451577,42,34.459369
48.391886,54,34.478586
30.35,36,34.491332
198.850248,200,34.557959
199.093665,200,34.622939
201.55,200,34.688297
104.391886,110,34.72571
200.2,200,35.318971
1.391886,7,35.321934
106.35,112,35.35997
205.05,200,35.426065
200.2,200,35.491202
200.2,200,35.557152
200.2,200,35.63407
200.2,200,36.259575
205.3,200,36.327236
200.2,200,36.392357
200.2,200,36.456898
200.2,200,36.521695
134.391886,140,37.073589
186.9,188,37.135802
207.759431,200,37.201275
17.35,23,37.210519
64.35,70,37.234476
97.391886,103,37.270308
37.391886,43,37.28609
18.454592,24,37.295372
2.391886,8,37.298926
-3.608114,2,37.300007
93.130037,99,37.334475
49.391886,55,37.353926
42.391886,48,37.370528
171.161897,177,37.963951
1.391886,7,37.966949
126.391886,132,38.011962
28.391886,34,38.02411
56.35,62,38.045537
19.35,25,38.054673
187.35,193,38.119099
7.391886,13,38.124186
161.422136,167,38.179671
111.365163,118,38.220062
66.35,72,38.244777
0.391886,6,38.247612
46.39478,52,38.265572
200.059217,200,38.85584
194.538197,190,38.919877
124.35,130,38.965042
6.391886,12,38.970197
17.391886,23,38.979143
16.35,22,38.988222
31.35,37,39.001908
109.391886,115,39.042735
2.391886,8,39.046777
11.524602,17,39.053796
122.516014,128,39.100796
0.391886,6,39.103636
-2.608114,3,39.105304
79.538197,81,39.135718
4.35,10,39.140182
63.378999,70,39.168093
202.25,200,39.895422
95.35,101,39.929961
44.391886,50,39.947492
87.3,90,39.978413
200.2,200,40.044275
200.2,200,40.111453
198.972697,200,40.178119
209.35,200,40.885429
200.2,200,40.950419
204.2,200,41.021146
200.2,200,41.086865
204.35,200,41.155648
78.045883,84,41.868838
200.2,200,41.935317
57.35,63,41.957632
29.088197,34,41.970457
31.35,37,41.983837
200.124128,200,42.050919
15.35,21,42.059047
207.5,200,42.125698
203.1,200,42.192467
200.2,200,42.834584
201.4,200,42.907223
127.35,133,42.953579
206.1,200,43.020931
200.2,200,43.087543
200.2,200,43.67785
198.809679,200,43.745365
199.044982,200,43.812462
200.2,200,43.881484
197.200585,200,43.949216
139.130037,145,43.999634
200.2,200,44.601108
200.2,200,44.668293
200.2,200,44.743191
200.2,200,44.814131
198.98007,200,44.880005
200.2,200,45.463122
200.2,200,45.531867
200.2,200,45.601323
200.2,200,45.672982
200.2,200,45.742198
199.377651,200,46.351839
203.35,200,46.418405
200.2,200,46.485636
200.2,200,46.5518
42.35,48,46.567756
200.2,200,46.635056
74.391886,80,47.155669
200.2,200,47.221903
200.2,200,47.287902
200.2,200,47.354367
143.391886,149,47.404298
200.2,200,47.471092
200.2,200,48.038948
200.2,200,48.108458
200.2,200,48.174561
200.2,200,48.2401
200.2,200,48.306425
200.2,200,48.86794
200.2,200,48.935589
200.2,200,49.004221
200.2,200,49.073048
200.2,200,49.141512
200.2,200,49.724392
200.2,200,49.790923
200.2,200,49.857582
200.2,200,49.923782
200.2,200,49.989828
184.391886,190,50.579799
200.2,200,50.645558
199.320854,200,50.711658
200.2,200,50.779039
155.391886,161,50.833881
89.391886,95,50.867021
